Timestamp,Campus_Location,Ambient_Temp_C,Activity_Level,Total_Demand_Liters
2/25/2025,Indoor_Stadium,17.1,Low,920
2/26/2025,Central_Canteen,41.9,Low,1560
2/27/2025,Garden_Irrigation,23.3,Medium,1240
2/28/2025,Main_Hostel_A,17.3,Medium,1254
3/1/2025,Garden_Irrigation,24.2,High,1530
3/2/2025,Boys_Hostel_C,32.8,High,1956
3/3/2025,Girls_Hostel_B,19.8,Medium,1518
3/4/2025,Main_Hostel_A,28.2,Low,1488
3/5/2025,Girls_Hostel_B,31.8,Medium,1698
3/6/2025,Boys_Hostel_C,24.5,Medium,1734
3/7/2025,Boys_Hostel_C,35.1,Medium,1998
3/8/2025,Boys_Hostel_C,40.4,Low,1770
3/9/2025,Main_Hostel_A,33.7,Low,1440
3/10/2025,Girls_Hostel_B,27.5,Low,1290
3/11/2025,Academic_Block_1,31.6,Medium,1450
3/12/2025,Boys_Hostel_C,16,High,1674
3/13/2025,Central_Canteen,31.7,Low,1335
3/14/2025,Indoor_Stadium,36.6,Medium,1605
3/15/2025,Campus_Laundry,34.7,High,3204
3/16/2025,Central_Canteen,27.5,Low,1090
3/17/2025,Campus_Laundry,37.6,High,3501
3/18/2025,Indoor_Stadium,35.4,High,1845
3/19/2025,Boys_Hostel_C,18.9,Low,1080
3/20/2025,Academic_Block_1,40.5,Low,1510
3/21/2025,Academic_Block_1,33.4,Medium,1645
3/22/2025,Central_Canteen,25.8,Medium,1255
3/23/2025,Boys_Hostel_C,28.2,High,2052
3/24/2025,Garden_Irrigation,39.4,High,1900
3/25/2025,Central_Canteen,15.4,Low,685
3/26/2025,Garden_Irrigation,22.1,High,1525
3/27/2025,Central_Library,15.5,Medium,460
3/28/2025,Girls_Hostel_B,40.1,Medium,2184
3/29/2025,Campus_Laundry,35.9,High,3465
3/30/2025,Central_Library,28.6,High,646
3/31/2025,Garden_Irrigation,35,Medium,1595
4/1/2025,Garden_Irrigation,36.4,Low,1410
4/2/2025,Indoor_Stadium,18.1,Medium,1200
4/3/2025,Indoor_Stadium,39.1,Medium,1665
4/4/2025,Central_Canteen,29.9,Medium,1460
4/5/2025,Indoor_Stadium,31.3,Low,1170
4/6/2025,Girls_Hostel_B,25.2,Low,1308
4/7/2025,Academic_Block_1,38.8,Medium,1690
4/8/2025,Campus_Laundry,39.8,Medium,2979
4/9/2025,Central_Library,28.3,High,630
4/10/2025,Boys_Hostel_C,33,Low,1356
4/11/2025,Boys_Hostel_C,15.2,Low,942
4/12/2025,Indoor_Stadium,40.9,Medium,1850
4/13/2025,Indoor_Stadium,15.3,Medium,1085
4/14/2025,Garden_Irrigation,32.2,High,1840
4/15/2025,Girls_Hostel_B,32.1,Low,1602
4/16/2025,Boys_Hostel_C,21.4,Medium,1452
4/17/2025,Campus_Laundry,34.8,High,3177
4/18/2025,Girls_Hostel_B,39.4,Medium,2022
4/19/2025,Girls_Hostel_B,37.9,Low,1590
4/20/2025,Boys_Hostel_C,33.5,Low,1386
4/21/2025,Garden_Irrigation,23.3,Low,920
4/22/2025,Central_Library,34.9,High,672
4/23/2025,Boys_Hostel_C,21.6,Low,1290
4/24/2025,Main_Hostel_A,15.4,Low,1044
4/25/2025,Central_Canteen,27,Medium,1330
4/26/2025,Campus_Laundry,22.3,Low,1674
4/27/2025,Girls_Hostel_B,25.4,High,1812
4/28/2025,Campus_Laundry,37.7,Medium,3186
4/29/2025,Central_Library,27.5,Low,476
4/30/2025,Boys_Hostel_C,38.1,High,2388
5/1/2025,Central_Library,18.3,Low,308
5/2/2025,Girls_Hostel_B,40,Medium,1992
5/3/2025,Garden_Irrigation,31.8,Medium,1460
5/4/2025,Central_Library,32.5,Low,458
5/5/2025,Central_Canteen,19.2,Medium,1280
5/6/2025,Garden_Irrigation,26.7,Low,1190
5/7/2025,Indoor_Stadium,30.6,Low,1270
5/8/2025,Main_Hostel_A,25.3,Medium,1692
5/9/2025,Academic_Block_1,27.4,Medium,1395
5/10/2025,Garden_Irrigation,40.3,Low,1340
5/11/2025,Boys_Hostel_C,34.8,High,2022
5/12/2025,Campus_Laundry,19.4,High,2457
5/13/2025,Central_Canteen,24,Medium,1260
5/14/2025,Boys_Hostel_C,29.8,Medium,1752
5/15/2025,Campus_Laundry,41,Low,2574
5/16/2025,Girls_Hostel_B,24.3,High,1812
5/17/2025,Campus_Laundry,24.6,Medium,2349
5/18/2025,Central_Canteen,20.4,Medium,1325
5/19/2025,Campus_Laundry,24.9,Low,1944
5/20/2025,Boys_Hostel_C,17.8,Medium,1536
5/21/2025,Main_Hostel_A,37.2,Low,1674
5/22/2025,Campus_Laundry,33.5,High,3006
5/23/2025,Main_Hostel_A,39.1,Low,1812
5/24/2025,Girls_Hostel_B,18.5,Low,1074
5/25/2025,Central_Library,25.3,Low,416
5/26/2025,Girls_Hostel_B,17,Low,906
5/27/2025,Central_Library,20.8,Medium,492
5/28/2025,Main_Hostel_A,29.6,Medium,1674
5/29/2025,Central_Library,37.9,Low,580
5/30/2025,Garden_Irrigation,41.5,Low,1455
5/31/2025,Main_Hostel_A,25.5,Medium,1632
6/1/2025,Central_Library,36.3,Medium,610
6/2/2025,Indoor_Stadium,18.2,High,1295
6/3/2025,Campus_Laundry,23.3,Medium,2448
6/4/2025,Campus_Laundry,33.1,Low,2088
6/5/2025,Garden_Irrigation,22.9,Medium,1310
6/6/2025,Garden_Irrigation,35.7,High,1900
6/7/2025,Boys_Hostel_C,29.2,High,1872
6/8/2025,Main_Hostel_A,41.7,High,2208
6/9/2025,Academic_Block_1,16.6,Low,835
6/10/2025,Central_Library,32.5,Medium,648
6/11/2025,Girls_Hostel_B,28.1,Medium,1818
6/12/2025,Central_Canteen,26.4,Low,1180
6/13/2025,Indoor_Stadium,41.9,Low,1390
6/14/2025,Main_Hostel_A,17.2,High,1698
6/15/2025,Main_Hostel_A,16.7,Medium,1488
6/16/2025,Indoor_Stadium,23,Medium,1400
6/17/2025,Girls_Hostel_B,25.2,Low,1176
6/18/2025,Garden_Irrigation,34.3,Medium,1590
6/19/2025,Campus_Laundry,30.1,Medium,2826
6/20/2025,Garden_Irrigation,19.6,Medium,1185
6/21/2025,Main_Hostel_A,36.2,High,2190
6/22/2025,Girls_Hostel_B,28.1,Low,1458
6/23/2025,Boys_Hostel_C,25.6,Medium,1536
6/24/2025,Campus_Laundry,28.2,Low,2061
6/25/2025,Girls_Hostel_B,40.5,Medium,2160
6/26/2025,Indoor_Stadium,31.8,Medium,1440
6/27/2025,Central_Library,26.8,Medium,524
6/28/2025,Indoor_Stadium,23.7,High,1515
6/29/2025,Girls_Hostel_B,21.6,High,1704
6/30/2025,Boys_Hostel_C,32.1,Low,1554
7/1/2025,Boys_Hostel_C,22.4,Medium,1404
7/2/2025,Boys_Hostel_C,35.1,Low,1422
7/3/2025,Central_Canteen,19.3,High,1405
7/4/2025,Academic_Block_1,25,High,1595
7/5/2025,Garden_Irrigation,26.7,Medium,1380
7/6/2025,Central_Library,37.7,Medium,670
7/7/2025,Girls_Hostel_B,22.5,Low,1224
7/8/2025,Girls_Hostel_B,25.6,High,1932
7/9/2025,Academic_Block_1,20.8,Medium,1345
7/10/2025,Garden_Irrigation,27,Low,1110
7/11/2025,Garden_Irrigation,30.8,Medium,1485
7/12/2025,Main_Hostel_A,35.2,Low,1650
7/13/2025,Main_Hostel_A,39.5,Low,1806
7/14/2025,Boys_Hostel_C,27.2,Medium,1740
7/15/2025,Campus_Laundry,40.8,Medium,3204
7/16/2025,Girls_Hostel_B,38.8,Medium,2040
7/17/2025,Girls_Hostel_B,19.8,Medium,1476
7/18/2025,Girls_Hostel_B,17.5,Low,1164
7/19/2025,Girls_Hostel_B,20.4,Medium,1554
7/20/2025,Academic_Block_1,24.9,High,1585
7/21/2025,Garden_Irrigation,19.2,High,1315
7/22/2025,Campus_Laundry,28.2,Medium,2709
7/23/2025,Central_Library,21.3,Medium,478
7/24/2025,Campus_Laundry,22.9,Medium,2493
7/25/2025,Garden_Irrigation,17.1,Medium,1240
7/26/2025,Boys_Hostel_C,30.3,Low,1476
7/27/2025,Main_Hostel_A,19,High,1578
7/28/2025,Campus_Laundry,17.1,Low,1728
7/29/2025,Central_Canteen,32.4,Medium,1470
7/30/2025,Main_Hostel_A,21.6,Medium,1620
7/31/2025,Indoor_Stadium,38.4,Low,1435
8/1/2025,Central_Canteen,33.2,Medium,1470
8/2/2025,Central_Canteen,41.4,Low,1410
8/3/2025,Central_Canteen,21.8,Medium,1285
8/4/2025,Garden_Irrigation,36.3,Low,1420
8/5/2025,Academic_Block_1,27.9,High,1575
8/6/2025,Main_Hostel_A,32.8,Medium,1914
8/7/2025,Main_Hostel_A,19,Medium,1464
8/8/2025,Girls_Hostel_B,28.2,High,2028
8/9/2025,Academic_Block_1,21.7,Medium,1235
8/10/2025,Central_Library,29.6,Medium,572
8/11/2025,Main_Hostel_A,32.7,Low,1392
8/12/2025,Central_Canteen,28.9,Medium,1375
8/13/2025,Indoor_Stadium,18.9,Low,1005
8/14/2025,Academic_Block_1,28.6,Medium,1435
8/15/2025,Campus_Laundry,23.8,High,2691
8/16/2025,Girls_Hostel_B,26.5,Low,1170
8/17/2025,Main_Hostel_A,16.4,Medium,1482
8/18/2025,Indoor_Stadium,17.4,Low,730
8/19/2025,Campus_Laundry,15.4,Low,1629
8/20/2025,Campus_Laundry,34.9,Medium,3024
8/21/2025,Boys_Hostel_C,22,Low,1308
8/22/2025,Indoor_Stadium,18.7,High,1420
8/23/2025,Boys_Hostel_C,23.1,Medium,1590
8/24/2025,Main_Hostel_A,39.2,Medium,2100
8/25/2025,Boys_Hostel_C,23.7,Low,1158
8/26/2025,Main_Hostel_A,16.6,High,1578
8/27/2025,Boys_Hostel_C,26.3,Medium,1704
8/28/2025,Central_Library,19.8,Low,362
8/29/2025,Girls_Hostel_B,28.8,High,1878
8/30/2025,Main_Hostel_A,35.4,Low,1434
8/31/2025,Academic_Block_1,38.8,Low,1445
9/1/2025,Main_Hostel_A,34.4,High,2232
9/2/2025,Main_Hostel_A,18.8,Medium,1566
9/3/2025,Central_Library,34.4,Medium,680
9/4/2025,Girls_Hostel_B,32.4,High,1962
9/5/2025,Main_Hostel_A,20.3,Medium,1608
9/6/2025,Main_Hostel_A,30.1,Low,1386
9/7/2025,Boys_Hostel_C,27.5,Medium,1698
9/8/2025,Girls_Hostel_B,25.2,Low,1272
9/9/2025,Central_Library,32,Low,440
9/10/2025,Garden_Irrigation,20.1,Medium,1320
9/11/2025,Garden_Irrigation,25.4,Medium,1405
9/12/2025,Central_Library,19.2,Medium,520
9/13/2025,Indoor_Stadium,34.4,Medium,1510
9/14/2025,Academic_Block_1,27.9,Low,1235
9/15/2025,Main_Hostel_A,29.4,High,1908
9/16/2025,Main_Hostel_A,32.5,Medium,1926
9/17/2025,Main_Hostel_A,19.1,Medium,1374
9/18/2025,Girls_Hostel_B,17.4,Low,1152
9/19/2025,Girls_Hostel_B,32,Medium,1770
9/20/2025,Campus_Laundry,33.1,Low,2187
9/21/2025,Garden_Irrigation,27.9,Low,1030
9/22/2025,Campus_Laundry,28.5,High,2772
9/23/2025,Academic_Block_1,27.6,Medium,1465
9/24/2025,Main_Hostel_A,39.5,Low,1704
9/25/2025,Academic_Block_1,34.2,High,1665
9/26/2025,Indoor_Stadium,23.7,Medium,1345
9/27/2025,Indoor_Stadium,20.4,Medium,1325
9/28/2025,Academic_Block_1,23.8,Low,915
9/29/2025,Indoor_Stadium,32.5,Medium,1520
9/30/2025,Central_Library,32.4,High,674
10/1/2025,Main_Hostel_A,40.7,Medium,1944
10/2/2025,Campus_Laundry,29,Medium,2565
10/3/2025,Central_Canteen,33.3,Low,1245
10/4/2025,Academic_Block_1,22.3,Medium,1160
10/5/2025,Academic_Block_1,31.1,High,1800
10/6/2025,Academic_Block_1,28.9,High,1645
10/7/2025,Academic_Block_1,25.5,Medium,1425
10/8/2025,Garden_Irrigation,16,High,1310
10/9/2025,Main_Hostel_A,33.7,Low,1662
10/10/2025,Academic_Block_1,25.5,Medium,1295
10/11/2025,Girls_Hostel_B,41.1,Low,1866
10/12/2025,Main_Hostel_A,36.1,High,2166
10/13/2025,Girls_Hostel_B,20.8,Low,1098
10/14/2025,Indoor_Stadium,39.9,Medium,1635
10/15/2025,Central_Library,34.7,Low,486
10/16/2025,Indoor_Stadium,41.6,Low,1390
10/17/2025,Central_Canteen,15.5,High,1320
10/18/2025,Garden_Irrigation,31.8,Medium,1405
10/19/2025,Garden_Irrigation,19.8,Medium,1340
10/20/2025,Campus_Laundry,20.1,Low,1827
10/21/2025,Main_Hostel_A,17.4,High,1650
10/22/2025,Main_Hostel_A,35.6,Low,1632
10/23/2025,Garden_Irrigation,23.1,Medium,1220
10/24/2025,Indoor_Stadium,27.5,Medium,1345
10/25/2025,Girls_Hostel_B,34.2,High,2130
10/26/2025,Girls_Hostel_B,38.5,Medium,2064
10/27/2025,Central_Canteen,21.8,Medium,1295
10/28/2025,Campus_Laundry,15.8,Medium,1917
10/29/2025,Garden_Irrigation,18.3,Medium,1100
10/30/2025,Campus_Laundry,32.4,Medium,2772
10/31/2025,Campus_Laundry,29.1,Medium,2457
11/1/2025,Academic_Block_1,39.6,Medium,1725
11/2/2025,Campus_Laundry,17.8,Low,1539
11/3/2025,Central_Canteen,36.7,High,1780
11/4/2025,Central_Canteen,30.1,Medium,1515
11/5/2025,Garden_Irrigation,40.5,Low,1485
11/6/2025,Central_Canteen,20.9,Medium,1265
11/7/2025,Central_Canteen,16,Medium,1015
11/8/2025,Academic_Block_1,22.8,Low,1005
11/9/2025,Main_Hostel_A,16.3,Medium,1278
11/10/2025,Girls_Hostel_B,20.5,Medium,1476
11/11/2025,Girls_Hostel_B,15.6,Medium,1302
11/12/2025,Main_Hostel_A,34.4,Medium,2010
11/13/2025,Boys_Hostel_C,35.3,High,2064
11/14/2025,Academic_Block_1,34.1,Medium,1555
11/15/2025,Central_Library,20.7,Medium,542
11/16/2025,Campus_Laundry,15.2,Medium,2052
11/17/2025,Central_Library,40.3,High,820
11/18/2025,Central_Library,26.3,Low,436
11/19/2025,Central_Library,15.7,Medium,482
11/20/2025,Garden_Irrigation,35,Low,1365
11/21/2025,Central_Library,38.1,Low,510
11/22/2025,Girls_Hostel_B,18.1,High,1734
11/23/2025,Girls_Hostel_B,26.4,Medium,1584
11/24/2025,Main_Hostel_A,22.7,Medium,1506
11/25/2025,Indoor_Stadium,24.3,Medium,1300
11/26/2025,Indoor_Stadium,20.9,Medium,1315
11/27/2025,Garden_Irrigation,26,Low,1090
11/28/2025,Indoor_Stadium,16.3,Medium,1020
11/29/2025,Central_Library,16,Low,328
11/30/2025,Girls_Hostel_B,15.8,Medium,1374
12/1/2025,Girls_Hostel_B,32.8,Medium,1758
12/2/2025,Boys_Hostel_C,24.8,Medium,1752
12/3/2025,Academic_Block_1,16.8,Medium,1215
12/4/2025,Central_Canteen,30.1,Medium,1535
12/5/2025,Academic_Block_1,29.4,Medium,1565
12/6/2025,Campus_Laundry,26.8,Medium,2538
12/7/2025,Garden_Irrigation,26.2,High,1550
12/8/2025,Boys_Hostel_C,38.5,Medium,1992
12/9/2025,Campus_Laundry,38.5,Medium,3105
12/10/2025,Boys_Hostel_C,20.2,Low,1212
12/11/2025,Central_Canteen,35.2,Medium,1570
12/12/2025,Boys_Hostel_C,27.2,Low,1422
12/13/2025,Central_Canteen,17,Medium,1020
12/14/2025,Central_Canteen,15.3,Medium,1130
12/15/2025,Garden_Irrigation,20.4,Medium,1210
12/16/2025,Indoor_Stadium,41.5,Medium,1815
12/17/2025,Central_Library,34,High,718
12/18/2025,Central_Canteen,22.8,Low,1010
12/19/2025,Boys_Hostel_C,35.7,Medium,1956
12/20/2025,Main_Hostel_A,34.8,Medium,1980
12/21/2025,Central_Canteen,41.4,Low,1360
12/22/2025,Indoor_Stadium,29.7,Low,1175
12/23/2025,Academic_Block_1,21.8,Low,865
12/24/2025,Boys_Hostel_C,30.4,Medium,1806
12/25/2025,Central_Canteen,34.5,High,1855
12/26/2025,Girls_Hostel_B,40.4,Medium,2052
12/27/2025,Main_Hostel_A,15.1,Medium,1428
12/28/2025,Academic_Block_1,22.8,Low,1015
12/29/2025,Main_Hostel_A,36.5,Medium,2016
12/30/2025,Academic_Block_1,28.3,Low,1015
12/31/2025,Boys_Hostel_C,31.5,Medium,1710
1/1/2025,Indoor_Stadium,40.1,Low,1390
1/2/2025,Girls_Hostel_B,37.3,Medium,2070
1/3/2025,Indoor_Stadium,18.8,High,1475
1/4/2025,Indoor_Stadium,29.5,Low,1145
1/5/2025,Indoor_Stadium,16.2,High,1370
1/6/2025,Indoor_Stadium,34.7,Medium,1450
1/7/2025,Campus_Laundry,26,Medium,2340
1/8/2025,Central_Library,23.1,High,610
1/9/2025,Main_Hostel_A,22.4,Medium,1584
1/10/2025,Indoor_Stadium,37,Medium,1645
1/11/2025,Girls_Hostel_B,25.6,Medium,1470
1/12/2025,Main_Hostel_A,27.5,Medium,1674
1/13/2025,Boys_Hostel_C,28.3,Low,1326
1/14/2025,Main_Hostel_A,33.4,Medium,1956
1/15/2025,Campus_Laundry,32.4,Medium,2682
1/16/2025,Academic_Block_1,20.2,Low,880
1/17/2025,Academic_Block_1,36.4,Medium,1600
1/18/2025,Girls_Hostel_B,26.2,Low,1194
1/19/2025,Central_Library,40,Medium,628
1/20/2025,Central_Library,39.6,Medium,638
1/21/2025,Central_Library,32.2,Medium,578
1/22/2025,Garden_Irrigation,27.7,Medium,1305
1/23/2025,Girls_Hostel_B,24.8,Low,1104
1/24/2025,Academic_Block_1,17.5,Low,920
1/25/2025,Central_Canteen,41.6,High,1900
1/26/2025,Boys_Hostel_C,34.2,Low,1590
1/27/2025,Indoor_Stadium,35.5,High,1675
1/28/2025,Campus_Laundry,32.7,Low,2367
1/29/2025,Indoor_Stadium,19.2,Low,815
1/30/2025,Garden_Irrigation,34.6,Medium,1460
1/31/2025,Central_Canteen,17.4,Low,905
2/1/2025,Central_Canteen,30.1,Medium,1355
2/2/2025,Indoor_Stadium,33.2,Medium,1580
2/3/2025,Boys_Hostel_C,27.8,Low,1440
2/4/2025,Central_Canteen,29.2,Low,1180
2/5/2025,Boys_Hostel_C,25.7,Medium,1452
2/6/2025,Central_Library,31.7,Medium,546
2/7/2025,Academic_Block_1,19.7,Medium,1175
2/8/2025,Garden_Irrigation,30.1,Medium,1405
2/9/2025,Girls_Hostel_B,24.8,Medium,1686
2/10/2025,Central_Library,26.5,Medium,586
2/11/2025,Indoor_Stadium,37.2,Medium,1680
2/12/2025,Boys_Hostel_C,17.5,Medium,1434
2/13/2025,Boys_Hostel_C,39.9,Medium,2076
2/14/2025,Academic_Block_1,19.8,Medium,1120
2/15/2025,Garden_Irrigation,37.3,Low,1375
2/16/2025,Central_Library,23.9,Low,392
2/17/2025,Main_Hostel_A,36.3,Medium,1962
2/18/2025,Academic_Block_1,30.2,Medium,1355
2/19/2025,Garden_Irrigation,36.6,Low,1220
2/20/2025,Garden_Irrigation,29.9,Low,1085
2/21/2025,Girls_Hostel_B,23.3,Medium,1500
2/22/2025,Central_Library,22.2,Medium,486
2/23/2025,Main_Hostel_A,40.8,High,2436
2/24/2025,Boys_Hostel_C,32.7,High,2166
2/25/2025,Main_Hostel_A,41.1,Medium,2154
2/26/2025,Girls_Hostel_B,25,Medium,1500
2/27/2025,Central_Library,27.4,Medium,544
2/28/2025,Girls_Hostel_B,23.2,High,1860
3/1/2025,Garden_Irrigation,26.1,Medium,1240
3/2/2025,Central_Library,17,Low,302
3/3/2025,Indoor_Stadium,41.1,High,2025
3/4/2025,Academic_Block_1,26.6,High,1605
3/5/2025,Garden_Irrigation,32.5,High,1710
3/6/2025,Garden_Irrigation,41.3,High,1915
3/7/2025,Indoor_Stadium,17.5,Medium,1055
3/8/2025,Main_Hostel_A,25,Medium,1476
3/9/2025,Girls_Hostel_B,27.9,Medium,1800
3/10/2025,Main_Hostel_A,15.3,Medium,1392
3/11/2025,Campus_Laundry,40.6,Low,2538
3/12/2025,Main_Hostel_A,27.8,High,1800
3/13/2025,Garden_Irrigation,23.8,Medium,1345
3/14/2025,Garden_Irrigation,31.5,Medium,1455
3/15/2025,Indoor_Stadium,41.4,Medium,1670
3/16/2025,Garden_Irrigation,36.7,High,1900
3/17/2025,Girls_Hostel_B,24.3,Medium,1584
3/18/2025,Boys_Hostel_C,27.1,Medium,1698
3/19/2025,Garden_Irrigation,25.1,Medium,1395
3/20/2025,Central_Canteen,41.1,Medium,1810
3/21/2025,Garden_Irrigation,40.5,Medium,1650
3/22/2025,Garden_Irrigation,32.3,Medium,1420
3/23/2025,Boys_Hostel_C,17.2,Medium,1248
3/24/2025,Campus_Laundry,17.5,High,2367
3/25/2025,Central_Canteen,20.1,High,1435
3/26/2025,Girls_Hostel_B,39.3,Low,1554
3/27/2025,Academic_Block_1,19.6,Low,885
3/28/2025,Campus_Laundry,25.5,High,2790
3/29/2025,Campus_Laundry,21.3,Medium,2286
3/30/2025,Campus_Laundry,15.3,Medium,1755
3/31/2025,Main_Hostel_A,26.2,Low,1110
4/1/2025,Garden_Irrigation,35.6,Low,1245
4/2/2025,Indoor_Stadium,16.3,Low,840
4/3/2025,Campus_Laundry,38.2,Low,2592
4/4/2025,Central_Library,15.2,Medium,398
4/5/2025,Boys_Hostel_C,34.7,High,2160
4/6/2025,Academic_Block_1,19.2,Low,775
4/7/2025,Garden_Irrigation,41.1,High,1895
4/8/2025,Main_Hostel_A,26.9,Low,1248
4/9/2025,Boys_Hostel_C,39.9,Low,1596
4/10/2025,Central_Canteen,35.6,Medium,1465
4/11/2025,Indoor_Stadium,18.4,High,1425
4/12/2025,Central_Canteen,15.6,Low,760
4/13/2025,Girls_Hostel_B,39.5,Low,1644
4/14/2025,Garden_Irrigation,38.2,High,1830
4/15/2025,Indoor_Stadium,33.6,High,1630
4/16/2025,Central_Canteen,18.4,Medium,1125
4/17/2025,Indoor_Stadium,16.6,Medium,1180
4/18/2025,Garden_Irrigation,37.5,Medium,1695
4/19/2025,Central_Canteen,32.7,High,1750
4/20/2025,Central_Library,40.2,Low,518
4/21/2025,Academic_Block_1,38.2,Medium,1575
4/22/2025,Campus_Laundry,34.9,Low,2457
4/23/2025,Main_Hostel_A,39.3,Low,1566
4/24/2025,Central_Library,40.8,Low,526
4/25/2025,Garden_Irrigation,33.1,Low,1125
4/26/2025,Academic_Block_1,35.8,Medium,1595
4/27/2025,Garden_Irrigation,15.9,Medium,1065
4/28/2025,Garden_Irrigation,25.5,Low,1075
4/29/2025,Main_Hostel_A,15.9,High,1536
4/30/2025,Garden_Irrigation,39.2,Low,1415
5/1/2025,Campus_Laundry,27.6,Medium,2673
5/2/2025,Indoor_Stadium,25.5,Medium,1320
5/3/2025,Indoor_Stadium,30.5,Medium,1325
5/4/2025,Main_Hostel_A,34.7,High,1968
5/5/2025,Central_Library,28.6,Low,490
5/6/2025,Girls_Hostel_B,41.7,Medium,2004
5/7/2025,Main_Hostel_A,31.4,Medium,1674
5/8/2025,Girls_Hostel_B,35.9,Low,1548
5/9/2025,Main_Hostel_A,18.6,Medium,1302
5/10/2025,Girls_Hostel_B,19.6,Medium,1350
5/11/2025,Indoor_Stadium,26.3,Medium,1435
5/12/2025,Central_Canteen,41.9,Low,1480
5/13/2025,Central_Library,32.3,Medium,628
5/14/2025,Central_Canteen,20,High,1285
5/15/2025,Academic_Block_1,16.6,High,1365
5/16/2025,Academic_Block_1,27.6,Medium,1415
5/17/2025,Academic_Block_1,25.4,Medium,1230
5/18/2025,Main_Hostel_A,28.5,Medium,1776
5/19/2025,Indoor_Stadium,34.9,Medium,1535
5/20/2025,Central_Library,21.7,Medium,462
5/21/2025,Girls_Hostel_B,32.4,High,2142
5/22/2025,Main_Hostel_A,16.7,Medium,1410
5/23/2025,Central_Library,20.6,Low,332
5/24/2025,Central_Library,30.6,Medium,560
5/25/2025,Central_Canteen,37.7,Medium,1745
5/26/2025,Central_Canteen,19.4,High,1455
5/27/2025,Boys_Hostel_C,36.4,Medium,1974
5/28/2025,Central_Canteen,37.5,Medium,1675
5/29/2025,Central_Canteen,36.1,High,1745
5/30/2025,Central_Canteen,29.3,Medium,1330
5/31/2025,Boys_Hostel_C,34.6,High,2130
6/1/2025,Central_Canteen,17.9,High,1390
6/2/2025,Garden_Irrigation,35.9,Medium,1510
6/3/2025,Indoor_Stadium,30.3,Medium,1485
6/4/2025,Central_Library,18.5,Medium,502
6/5/2025,Central_Library,23.8,Low,364
6/6/2025,Academic_Block_1,33.5,Low,1105
6/7/2025,Boys_Hostel_C,25.7,Low,1098
6/8/2025,Garden_Irrigation,18.4,High,1370
6/9/2025,Central_Library,28,Low,446
6/10/2025,Garden_Irrigation,26.9,Low,1115
